fid,station_id,station_x,station_y,gauge_id,gauge_name,n,distance,gauge_x,gauge_y
60,il_23103,187721,535712,98,SEDE BOQER,1,8599,180395,531208
60,il_23103,187721,535712,271,AVDAT,2,15805,177878,523345
60,il_23103,187721,535712,112,ZOMET HANEGEV,3,17238,185533,552810
61,il_59185,,,,,,,,
62,il_57160,,,,,,,,
63,il_38175,237741,718182,224,MAALE GILBOA,1,8637,239248,709677
63,il_38175,237741,718182,206,EDEN FARM,2,12881,246207,708473
63,il_38175,237741,718182,13,TAVOR KADOORIE,3,15779,237793,733961
63,il_38175,237741,718182,11,YAVNEEL,4,17701,248676,732102
63,il_38175,237741,718182,8,ZEMAH,5,23751,255045,734451
64,il_4110,220017,768237,73,ELON,1,6328,220629,774535
64,il_4110,220017,768237,343,SHAVE ZIYYON,2,11714,208758,765003
64,il_4110,220017,768237,269,HARASHIM,3,12473,231009,762342
64,il_4110,220017,768237,106,ROSH HANIQRA,4,12520,210358,776203
64,il_4110,220017,768237,205,ESHHAR,5,16263,228304,754243
65,il_48125,226142,620275,218,MAALE ADUMMIM,1,11055,228129,631150
65,il_48125,226142,620275,23,JERUSALEM CENTRE,2,12787,221119,632034
65,il_48125,226142,620275,22,JERUSALEM GIVAT RAM,3,12963,218751,630925
65,il_48125,226142,620275,77,ROSH ZURIM,4,14358,211827,619174
65,il_48125,226142,620275,210,METZOKE DRAGOT,5,14457,236405,610093
66,il_48130,223420,615432,77,ROSH ZURIM,1,12181,211827,619174
66,il_48130,223420,615432,210,METZOKE DRAGOT,2,14040,236405,610093
66,il_48130,223420,615432,22,JERUSALEM GIVAT RAM,3,16181,218751,630925
66,il_48130,223420,615432,218,MAALE ADUMMIM,4,16408,228129,631150
66,il_48130,223420,615432,23,JERUSALEM CENTRE,5,16760,221119,632034
67,il_48185,227902,577344,29,ARAD,1,10987,217699,573268
67,il_48185,227902,577344,211,EN GEDI,2,17026,236719,591909
67,il_48185,227902,577344,28,SHANI,3,24243,204665,584255
67,il_48185,227902,577344,188,ZOVA,4,29308,206679,597557
67,il_48185,227902,577344,65,SEDOM,5,29850,237267,549001
68,il_48192,216158,559088,29,ARAD,1,14263,217699,573268
68,il_48192,216158,559088,65,SEDOM,2,23396,237267,549001
68,il_48192,216158,559088,349,NEVATIM,3,25316,192539,568202
68,il_48192,216158,559088,28,SHANI,4,27667,204665,584255
69,il_5110,221052,764453,73,ELON,1,10091,220629,774535
69,il_5110,221052,764453,269,HARASHIM,2,10178,231009,762342
69,il_5110,221052,764453,343,SHAVE ZIYYON,3,12306,208758,765003
69,il_5110,221052,764453,205,ESHHAR,4,12524,228304,754243
69,il_5110,221052,764453,106,ROSH HANIQRA,5,15888,210358,776203
70,il_55106,179236,509842,271,AVDAT,1,13571,177878,523345
70,il_55106,179236,509842,98,SEDE BOQER,2,21397,180395,531208
71,il_55140,185062,519027,271,AVDAT,1,8382,177878,523345
71,il_55140,185062,519027,98,SEDE BOQER,2,13045,180395,531208
72,il_55165,204326,547368,112,ZOMET HANEGEV,1,19565,185533,552810
72,il_55165,204326,547368,349,NEVATIM,2,23937,192539,568202
72,il_55165,204326,547368,98,SEDE BOQER,3,28876,180395,531208
72,il_55165,204326,547368,29,ARAD,4,29149,217699,573268
73,il_56140,176773,497283,271,AVDAT,1,26086,177878,523345
74,il_56150,,,,,,,,
75,il_56164,,,,,,,,
76,il_57125,177996,441203,232,NEOT SMADAR,1,23997,201958,439911
77,il_57130,,,,,,,,
78,il_57165,,,,,,,,
79,il_57180,191303,459189,232,NEOT SMADAR,1,22026,201958,439911
79,il_57180,191303,459189,207,PARAN,2,27836,214030,475262
80,il_57190,,,,,,,,
81,il_58150,190297,432052,232,NEOT SMADAR,1,14062,201958,439911
81,il_58150,190297,432052,36,YOTVATA,2,19730,207242,421946
82,il_58175,199435,444027,232,NEOT SMADAR,1,4828,201958,439911
82,il_58175,199435,444027,36,YOTVATA,2,23421,207242,421946
83,il_59195,223232,531477,65,SEDOM,1,22452,237267,549001
84,il_60105,207906,443781,232,NEOT SMADAR,1,7096,201958,439911
84,il_60105,207906,443781,36,YOTVATA,2,21846,207242,421946
85,il_60110,208122,443815,232,NEOT SMADAR,1,7296,201958,439911
85,il_60110,208122,443815,36,YOTVATA,2,21887,207242,421946
86,il_60140,193602,411402,36,YOTVATA,1,17240,207242,421946
86,il_60140,193602,411402,64,ELAT,2,26398,195184,385052
86,il_60140,193602,411402,232,NEOT SMADAR,3,29708,201958,439911
87,il_60150,187716,398731,64,ELAT,1,15585,195184,385052
