run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0752,0.771,19.1,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.904,0.883,12.8,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.234,0.883,21.5,zscore,"z-score normalization, ensemble run",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_14120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],3.87,0.834,12.6,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_15120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],2.05,0.861,9.86,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_19160,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.0141,-0.248,16,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_2105,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.255,0.784,9,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_30170,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.107,0.623,11.6,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_4110,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.0705,0.797,15.7,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_8146,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.937,0.873,14,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_flow_only_training_zscore_norm_2512_162024,il_8155,{0: 0.001},36,64,2048,15,['Flow_m3_sec_zscore_norm_shift18'],['random_0_1_shift18'],0.157,0.946,16.4,zscore,"single run with flow only, zscore normalization",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_14120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",3.59,0.859,17.6,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_15120,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",2.03,0.865,26.4,minmax,"minmax normalization, single run",,
hidden_size64_seq_length36_learning_rate0001_training_minmax_norm_2512_114137,il_19160,{0: 0.001},36,64,2048,15,['Flow_m3_sec_minmax_norm_shift18'],"['Rain_gauge_1_minmax_norm', 'Rain_gauge_2_minmax_norm', 'Rain_gauge_3_minmax_norm']",0.0264,-3.35,45.5,minmax,"minmax normalization, single run",,
