hidden_size,batch_size,learning_rate,step,train_loss,valid_loss,valid_nse,file_name,normalization,seq_length
256,512,0.001,2,0.111406922,0.013268358,-0.746443272,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,3,0.098980427,0.017079612,-0.833473206,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,4,0.085804135,0.015983969,-0.700900733,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,5,0.069956653,0.019970674,-0.750627518,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,6,0.06219317,0.017861446,-0.75851202,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,7,0.053848255,0.016888747,-0.7088117,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,8,0.044508584,0.016041284,-0.748571754,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,9,0.041777987,0.017046668,-0.760257721,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,10,0.037518263,0.017409043,-0.757201135,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,11,0.0329207,0.016360348,-0.707785368,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,12,0.029462367,0.016419666,-0.711125433,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,13,0.02979707,0.016773337,-0.764244437,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,14,0.02605005,0.023053356,-1.125609159,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.001,15,0.025611497,0.016468616,-0.721276462,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate0001_2812_002447,training_zscore,36
256,512,0.01,1,0.147530198,0.016796848,-0.773225486,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,2,0.136241645,0.019401787,-0.827321529,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,3,0.133839399,0.017902693,-0.864442885,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,4,0.130495384,0.020768467,-0.80445987,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,5,0.130317405,0.017084131,-0.781660199,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,6,0.124858856,0.016057413,-0.726898849,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,7,0.120791294,0.017764287,-0.829343677,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,8,0.125074103,0.014977532,-0.734718144,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,9,0.124879584,0.016164927,-0.80038327,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,10,0.122968934,0.017966757,-0.806344092,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,11,0.121379934,0.018878249,-0.755345106,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,12,0.121263079,0.019029327,-0.796100616,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,13,0.11948923,0.017088449,-0.752123237,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,14,0.12018244,0.016147679,-0.746341109,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
256,512,0.01,15,0.117729574,0.01577262,-0.76204741,HPC_training_zscore_norm_hidden_size256_batch_size512_learning_rate001_2612_184514,training_zscore,36
64,2048,0.001,1,0.207477018,0.019900503,-0.788900912,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,2,0.126155376,0.021913465,-0.761931539,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,3,0.104636148,0.020664677,-0.880336225,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,4,0.092899002,0.020272849,-0.768216789,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,5,0.081332609,0.019312162,-0.768802047,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,6,0.075603396,0.019006452,-0.75100553,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,7,0.069095135,0.019778898,-0.837789953,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,8,0.057969745,0.021463295,-0.789810479,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,9,0.054488383,0.021068187,-0.757558227,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,10,0.049047727,0.026684023,-0.854513526,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,11,0.047806475,0.028814105,-0.826180398,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,12,0.050216682,0.02674754,-0.853307843,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,13,0.042269144,0.019750625,-0.772975326,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,14,0.040819854,0.023033185,-0.77143234,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.001,15,0.041595325,0.022140503,-0.772197187,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate0001_2712_165520,training_zscore,36
64,2048,0.01,1,0.153264374,0.019619841,-0.776008964,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,2,0.124712043,0.025537323,-0.811884344,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,3,0.118520625,0.022185011,-0.766993701,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,4,0.112674013,0.020040868,-0.70821017,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,5,0.110384397,0.027908001,-0.881186724,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,6,0.103512742,0.023982225,-0.753332496,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,7,0.098513946,0.024891866,-0.788940132,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,8,0.102243304,0.022098236,-0.704424381,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,9,0.097285517,0.02388216,-0.732242405,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,10,0.088714071,0.021172954,-0.739305139,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,11,0.087394506,0.021147458,-0.698659241,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,12,0.088668004,0.020405306,-0.801154375,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,13,0.077438399,0.019456655,-0.731415629,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,14,0.078922801,0.019656243,-0.747768223,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,2048,0.01,15,0.071417361,0.019459052,-0.777625561,HPC_training_zscore_norm_hidden_size64_batch_size2048_learning_rate001_2712_173057,training_zscore,36
64,512,0.001,1,0.159972012,0.014754148,-0.769300759,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,2,0.113832772,0.014663684,-0.789730966,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,3,0.103675231,0.013804818,-0.719031692,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,4,0.094157644,0.014217765,-0.716791928,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,5,0.091043115,0.014181923,-0.727822065,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
64,512,0.001,6,0.080988951,0.012876472,-0.696976662,HPC_training_zscore_norm_hidden_size64_batch_size512_learning_rate0001_2612_174015,training_zscore,36
